is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
1,-20,1,1,0,1,PERTURBATION,0,ROTATION,0.527868986129761,-90,-54.412949608754,35.587050391246,80,30,msl000290,v1,0.419510841369629,5.01146292686462,31.0272342681884,26.3125415802003,593
1,-15,1,1,0,0,PERTURBATION,0,ROTATION,0.699275016784668,-90,-100.368602252062,-10.3686022520619,80,31,msl000290,v1,0,0,0,0,593
1,-15,1,1,0,1,PERTURBATION,0,ROTATION,0.789009809494019,-90,-58.8149190064816,31.1850809935184,80,32,msl000290,v1,0.529647827148438,3.27369093894959,24.1878976821899,23.3099060058595,593
1,30,1,1,0,0,PERTURBATION,0,ROTATION,0.534917116165161,-90,-94.6371079731607,-4.6371079731607,80,33,msl000290,v1,0,0,0,0,593
1,30,1,1,0,1,PERTURBATION,0,ROTATION,1.12563896179199,-90,-124.967282024015,-34.9672820240153,80,34,msl000290,v1,0.558318614959717,3.91034555435181,-26.5232809066772,35.3204483032227,658
1,-50,1,1,0,0,PERTURBATION,0,ROTATION,0.649776935577393,-90,-98.4340809576088,-8.43408095760883,80,35,msl000290,v1,0,0,0,0,658
1,-50,1,1,0,1,PERTURBATION,0,ROTATION,0.392153978347778,-90,-31.7379370547673,58.2620629452327,80,36,msl000290,v1,0.0461633205413818,4.43010520935059,52.8797487258914,37.3222053527833,721
1,25,1,1,0,0,PERTURBATION,0,ROTATION,0.77865195274353,-90,-103.484370450281,-13.4843704502809,80,37,msl000290,v1,0,0,0,0,721
1,25,1,1,0,1,PERTURBATION,0,ROTATION,0.397531032562256,-90,-123.435651362055,-33.4356513620554,80,38,msl000290,v1,0.563597917556763,4.55550408363342,-15.5136171340942,27.9806724548341,794
1,-40,1,1,0,0,PERTURBATION,0,ROTATION,0.919207096099854,-90,-100.839124627922,-10.839124627922,80,39,msl000290,v1,0,0,0,0,794
1,-40,1,1,0,1,PERTURBATION,0,ROTATION,0.495881080627441,-90,-40.9808170043574,49.0191829956426,80,40,msl000290,v1,0.542870759963989,5.2548086643219,54.881505775452,29.9824295043946,865
1,40,1,1,0,0,PERTURBATION,0,ROTATION,0.448222875595093,-90,-102.683801720375,-12.6838017203745,80,41,msl000290,v1,0,0,0,0,865
1,40,1,1,0,1,PERTURBATION,0,ROTATION,0.55904483795166,-90,-135.719829680016,-45.7198296800155,80,42,msl000290,v1,0.33216142654419,19.2282373905182,-28.6918510437011,27.3134201049806,938
1,-45,1,1,0,0,PERTURBATION,0,ROTATION,0.544095993041992,-90,-102.05667594105,-12.0566759410502,80,43,msl000290,v1,0,0,0,0,938
1,-45,1,1,0,1,PERTURBATION,0,ROTATION,0.384132862091064,-90,-31.1195035841358,58.8804964158642,80,44,msl000290,v1,0.261069536209106,5.71709752082825,62.2212816238408,27.6470462799073,938
1,25,1,1,0,0,PERTURBATION,0,ROTATION,0.476717948913574,-90,-96.8426986703786,-6.8426986703786,80,45,msl000290,v1,0,0,0,0,938
1,25,1,1,0,1,PERTURBATION,0,ROTATION,0.455950021743774,-90,-127.760575906665,-37.7605759066653,80,46,msl000290,v1,0.426370143890381,4.1463360786438,-22.6865798950195,32.9850650787354,1006
1,-60,1,1,0,0,PERTURBATION,0,ROTATION,0.482892990112305,-90,-103.73510066138,-13.7351006613805,80,47,msl000290,v1,0,0,0,0,1006
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.38971209526062,-90,-16.6922465167328,73.3077534832673,80,48,msl000290,v1,0.856027603149414,6.91217064857483,73.8981977462775,30.9833080291749,1076
1,30,1,1,0,0,PERTURBATION,0,ROTATION,0.411669015884399,-90,-99.7829937127623,-9.78299371276233,80,49,msl000290,v1,0,0,0,0,1076
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.379684925079346,-90,-122.991777965947,-32.9917779659465,80,50,msl000290,v1,0.285706281661987,3.01376748085022,-16.3476825714111,32.9850650787354,1144
1,35,1,1,0,0,PERTURBATION,0,ROTATION,0.377597093582153,-90,-101.423334815915,-11.4233348159154,80,51,msl000290,v1,0,0,0,0,1144
1,35,1,1,0,1,PERTURBATION,0,ROTATION,0.356791973114014,-90,-131.216081229929,-41.2160812299291,80,52,msl000290,v1,0.135559320449829,3.44757413864136,-29.0254772186279,23.3099060058595,1221
1,-40,1,1,0,0,PERTURBATION,0,ROTATION,0.592849969863892,-90,-101.0892478139,-11.0892478138997,80,53,msl000290,v1,0,0,0,0,1221
1,-40,1,1,0,1,PERTURBATION,0,ROTATION,0.413532018661499,-90,-27.9026588824325,62.0973411175675,80,54,msl000290,v1,0.269683122634888,4.62963509559631,55.0483188629153,26.6461677551271,1221
1,-25,1,1,0,0,PERTURBATION,0,ROTATION,0.680529117584229,-90,-105.488693566937,-15.4886935669367,80,55,msl000290,v1,0,0,0,0,1221
1,-25,1,1,0,1,PERTURBATION,0,ROTATION,0.419209003448486,-90,-42.3932514142003,47.6067485857997,80,56,msl000290,v1,0.127127885818481,4.25511479377747,40.2019540786744,33.6523174285889,1221
1,20,1,1,0,0,PERTURBATION,0,ROTATION,0.612228870391846,-90,-108.046625095591,-18.0466250955908,80,57,msl000290,v1,0,0,0,0,1221
