trial,mean_diff_angle,mean_av_clamp,std_error_diff,std_error_clamp
1,-0.915166798855774,0,1.09625339410718,0
2,-1.60637764191064,0,1.27969255324715,0
3,-1.33118468569942,0,1.19163251519337,0
4,-2.4563684230449,0,1.10080212216634,0
5,-3.41331739981582,0,1.18973702902697,0
6,0.0244543660993584,0,1.23590740887229,0
7,-3.45867539445466,0,1.07116685224524,0
8,-0.430997395449424,0,1.29795131677287,0
9,-3.46871938098266,0,1.41083733058473,0
10,-1.65875203512565,0,1.11499701741226,0
11,-0.653722235647538,0,0.837379882580852,0
12,-0.97452006018631,0,0.889862935020672,0
13,-1.0121829823175,0,1.25115899595552,0
14,-1.49405128507813,0,1.39131232006742,0
15,-3.21487784982064,0,0.91147362945521,0
16,-1.31113234369206,0,0.839724193818831,0
17,-0.328927459908103,0,0.895136566713032,0
18,-0.867888002330158,0,1.13713461332279,0
19,-3.24609220672727,0,1.38440945264538,0
20,1.85690066115136,0,0.953284763968075,0
21,0.745292723694191,0,0.977374258370984,0
22,-1.35974125844983,0,1.03289403107336,0
23,-0.960486124063473,0,0.897439822885881,0
24,-1.53217875374301,0,0.755525668400875,0
25,-1.13734513730654,0,0.79975224569831,0
26,2.66024386355935,-15,1.39609640028471,0
27,5.17164958943833,-15,1.17070064817035,0
28,9.49196656036711,-15,1.70178678065612,0
29,10.5016127773781,-15,2.25033626406662,0
30,13.9632435143254,-15,2.74896139402571,0
31,13.7325490948487,-15,2.03332759984838,0
32,12.8750838520173,-15,1.50378344292467,0
33,11.8308077521432,-15,1.90128519636761,0
34,17.6333649194646,-15,4.56673129247636,0
35,12.4584551564429,-15,2.38294818970819,0
36,9.41335299964741,-15,8.29267624539818,0
37,13.6804184459334,-15,2.10236583856656,0
38,13.2736942155802,-15,2.50702557589451,0
39,3.70093029668075,-15,7.60736503694739,0
40,13.1794287504454,-15,2.74556698272691,0
41,13.4275507116409,-15,2.39617403300945,0
42,14.4137283947778,-15,1.97616369330218,0
43,15.6388081213008,-15,2.52652401479956,0
44,11.8940390130972,-15,2.49816373432314,0
45,12.8990491335628,-15,2.48026347134251,0
46,14.4457750116626,-15,2.20780254562274,0
47,14.4900966773638,-15,2.45128385770499,0
48,13.4820835807443,-15,3.00179560897443,0
49,14.6308686011804,-15,2.91988885252559,0
50,12.1131801101226,-15,3.07256559378855,0
51,13.2831472995417,-15,3.03513571248587,0
52,14.7273224759965,-15,3.15167675811737,0
53,13.9054525733745,-15,2.37025263482932,0
54,13.8021084544357,-15,2.33546752092067,0
55,13.9669442839415,-15,1.92404256050786,0
56,7.36587693125055,-15,6.35078439034249,0
57,13.8966072316324,-15,2.26675369135823,0
58,9.80770982902367,-15,4.77552660811947,0
59,14.2181955826228,-15,2.91052044963771,0
60,15.2536794440606,-15,2.78553262606937,0
61,12.5877900245209,-15,2.35091571419838,0
62,9.87491085904036,-15,2.34760354605234,0
63,11.1356974622676,-15,2.49768219174562,0
64,10.4545731041319,-15,2.32744484416403,0
65,13.3512565230042,-15,2.75133035769379,0
66,13.0559807688745,-15,2.26490982122198,0
67,10.6404692328797,-15,2.1622694027517,0
68,11.3962542268209,-15,2.37399641397624,0
69,13.2082005197274,-15,2.22877313010965,0
70,12.3612335672391,-15,2.60544999699991,0
71,11.9175293705109,-15,2.4817844001531,0
72,10.2657843746315,-15,2.2835484898806,0
73,10.9177799795311,-15,2.31540416954008,0
74,8.66829088687746,-15,2.1695831068499,0
75,11.6988813101819,-15,2.26562490128962,0
76,10.3476948909266,-15,2.66416135726505,0
77,10.9257708651986,-15,2.61768611939304,0
78,9.92013507094136,-15,2.22722292748327,0
79,4.06451776506471,-15,7.34944888126254,0
80,4.37615415399731,-15,5.97157751651113,0
81,5.27060517876138,-15,6.53932921405872,0
82,7.3488002153464,-15,4.54587082591953,0
83,12.5456152802759,-15,2.79841818120057,0
84,18.78169412509,-15,7.81959304002857,0
85,12.3029065516193,-15,2.60127065616176,0
86,9.22508848451746,-15,5.36440928816433,0
87,12.738653923129,-15,2.3482187020719,0
88,12.210609825731,-15,2.55792623661464,0
89,11.9507752126748,-15,2.69334479040412,0
90,9.73387346001748,-15,2.33002707598207,0
91,6.89738269370627,-15,5.15383117353163,0
92,11.5095434869033,-15,2.61757515930362,0
93,12.0999422390876,-15,2.88431142730223,0
94,15.3655784488871,-15,3.32160588805894,0
95,13.6273673826211,-15,2.90852973259747,0
96,13.5299025225246,-15,2.82470886416114,0
97,13.9707194460978,-15,2.90281023269977,0
98,12.538492132589,-15,3.42483869473668,0
99,12.6558667285817,-15,2.59327701375196,0
100,14.8733613446679,-15,2.80599851319566,0
101,11.6268210429791,-15,2.7370453015263,0
102,12.3548799980491,-15,2.74758740950954,0
103,12.6398431336832,-15,2.11236209306133,0
104,14.1331819602652,-15,2.61870076974126,0
105,12.1864866757322,-15,2.41912302794082,0
106,12.1257323952399,-15,2.58778649405533,0
107,11.8656608964282,-15,1.77214982226734,0
